# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.41559143e+02,7.61241373e-03,3.64744633e-01,4.11980957e-01,2.47311040e+07
1.45437286e+02,3.13643169e+00,1.92715454e+00,9.78925467e-01,4.96671600e+07
1.40217651e+02,1.54747379e+00,3.84042025e+00,1.70727000e-01,2.66377540e+07
1.43128860e+02,3.13133502e+00,1.90605736e+00,5.06125629e-01,3.59959760e+07
1.40005051e+02,1.00608373e+00,3.79470181e+00,2.90354967e-01,4.70630000e+07
1.45001968e+02,3.13780189e+00,3.24072933e+00,3.35696161e-01,2.66070860e+07
1.40265625e+02,1.47146821e-01,1.68622160e+00,2.45814174e-01,1.88828700e+07
1.48345123e+02,3.13771701e+00,3.63157558e+00,5.07624984e-01,2.18595340e+07
1.40564682e+02,1.54606253e-02,1.20709682e+00,6.12200201e-01,1.43114720e+07
1.40049545e+02,7.60486901e-01,5.01718855e+00,1.94284543e-01,3.18228860e+07
1.41192245e+02,3.13574934e+00,3.43645048e+00,7.43138909e-01,3.04461940e+07
1.40312424e+02,7.89919674e-01,3.08218908e+00,1.45547330e-01,4.33282400e+07
1.47557816e+02,3.13707829e+00,2.03042889e+00,6.93236232e-01,2.47714960e+07
1.40160858e+02,2.73642707e+00,4.65192646e-01,8.11668113e-02,2.47864560e+07
1.40795532e+02,3.11848235e+00,1.49121594e+00,1.04628086e+00,4.03579320e+07
1.49503769e+02,2.50350428e-03,5.47537613e+00,3.90673071e-01,3.99884200e+07
1.40046188e+02,1.76600553e-02,3.42305064e+00,2.37771466e-01,3.09178060e+07
1.40320938e+02,3.13999605e+00,4.59017754e-01,7.94590294e-01,2.03025740e+07
1.40030029e+02,2.69165945e+00,1.41347456e+00,4.15372282e-01,3.87231800e+07
1.40906433e+02,1.94314413e-03,3.10445857e+00,2.56127954e-01,2.42007720e+07
1.42944565e+02,6.02151221e-03,5.11997604e+00,5.84243774e-01,3.34524020e+07
1.40026123e+02,5.88162601e-01,2.27201080e+00,2.60338962e-01,4.35055160e+07
1.41521255e+02,6.55193347e-03,2.15800667e+00,5.64028144e-01,5.33641480e+07
1.42801712e+02,6.04292843e-03,2.21200037e+00,5.76968968e-01,2.63718400e+07
1.45603363e+02,3.13394427e+00,2.29411316e+00,7.61540592e-01,4.25877200e+07
1.40859192e+02,3.13484287e+00,5.99850512e+00,4.90775645e-01,1.95837460e+07
1.41015335e+02,3.13412261e+00,1.14116752e+00,2.15881288e-01,2.87961060e+07
1.42408585e+02,3.14136600e+00,3.10150838e+00,3.18493992e-01,2.14107340e+07
1.50458038e+02,4.95291664e-04,6.05202007e+00,4.06521380e-01,2.74497080e+07
1.40727997e+02,3.13729000e+00,5.44464540e+00,4.00636971e-01,2.95242840e+07
1.46722870e+02,6.39365753e-04,4.05402279e+00,9.49453354e-01,1.66388720e+07
1.40736282e+02,7.85162393e-03,4.37985992e+00,9.98728335e-01,5.60008440e+07
1.68665878e+02,3.13939667e+00,3.01322079e+00,9.58127677e-01,4.22470040e+07
1.47163193e+02,3.14069390e+00,3.18294239e+00,4.71305400e-01,2.84071460e+07
1.46321426e+02,3.13692331e+00,4.12981415e+00,3.86455268e-01,2.98627540e+07
1.40270416e+02,2.05148458e+00,2.25444579e+00,1.70932010e-01,2.90313520e+07
1.41701004e+02,3.13767767e+00,4.39312649e+00,7.29019701e-01,2.36319180e+07
1.42264755e+02,3.13693190e+00,3.70449018e+00,2.71901131e-01,6.62129050e+06
1.42837860e+02,3.13698530e+00,4.64729309e+00,7.06856787e-01,6.05258680e+07
1.40757675e+02,3.13205862e+00,3.36233282e+00,4.71158177e-01,1.74598020e+07
1.58873062e+02,3.14013147e+00,3.16580677e+00,8.93909812e-01,2.98103940e+07
1.43407806e+02,5.94629673e-03,1.77929604e+00,4.67495561e-01,3.52577000e+07
1.43467834e+02,3.13575506e+00,3.66893101e+00,5.51848471e-01,1.88854880e+07
1.44375992e+02,3.13630319e+00,2.88254309e+00,7.65720904e-01,2.64672100e+07
1.40515686e+02,2.21198559e+00,8.74419510e-01,2.36622408e-01,3.15883880e+07
1.48512863e+02,3.13769722e+00,2.70837688e+00,6.47372782e-01,3.05082780e+07
1.40092453e+02,9.75923333e-03,3.00210643e+00,5.29718280e-01,1.77511480e+07
1.44679855e+02,6.18473766e-03,2.41897082e+00,6.64634883e-01,2.72118440e+07
1.40035934e+02,2.50141859e-01,4.36602449e+00,1.73637822e-01,1.96334880e+07
1.40327530e+02,3.11417031e+00,4.79613972e+00,3.61234188e-01,4.32639120e+07
1.48678436e+02,3.13847947e+00,2.30088234e-01,6.57384872e-01,2.59196740e+07
1.49955078e+02,3.17507633e-03,5.03024149e+00,7.67101407e-01,2.30088360e+07
1.40066803e+02,3.13234735e+00,4.96418762e+00,3.03013742e-01,3.77444240e+07
1.40055435e+02,2.60727906e+00,1.56269443e+00,1.71957597e-01,2.82448300e+07
