# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.40904816e+02,1.65221968e-03,3.16159248e-01,7.27097154e-01,3.09062120e+07
1.47531555e+02,3.13827324e+00,4.52025127e+00,5.03765225e-01,8.58478900e+06
1.40288849e+02,1.25537366e-02,5.76499271e+00,6.15321219e-01,1.32941930e+07
1.44727844e+02,9.06131463e-04,5.88528967e+00,6.79269254e-01,2.32575460e+07
1.47246826e+02,3.13759184e+00,2.89873123e+00,3.11720163e-01,2.13767000e+07
1.44368958e+02,3.13998699e+00,1.09932995e+00,5.91811836e-01,2.58908760e+07
1.44345947e+02,1.15063256e-02,5.85810328e+00,5.32155514e-01,1.79474980e+07
1.46690674e+02,3.18531645e-03,5.80046701e+00,5.77824414e-01,1.16239110e+07
1.45387405e+02,3.13968682e+00,2.75954366e+00,4.70470071e-01,9.66228200e+06
1.40105316e+02,1.27950422e-02,2.18154716e+00,3.64969224e-01,6.13808300e+06
1.46020615e+02,3.13750362e+00,3.48149395e+00,6.44889891e-01,3.37078440e+07
1.41786774e+02,5.28631406e-03,1.01737213e+00,6.86884224e-01,3.26281080e+07
1.46201920e+02,3.13059473e+00,5.48467636e-01,4.57835823e-01,9.85975400e+06
1.47207367e+02,2.91441707e-03,6.18194294e+00,6.54033005e-01,1.06810570e+07
1.40336884e+02,1.03580189e+00,3.54675388e+00,2.95487672e-01,2.21460180e+07
1.71207199e+02,3.13346982e+00,4.20257854e+00,7.86080658e-01,1.06447790e+07
1.48025436e+02,6.13804255e-03,2.50769258e+00,6.52767837e-01,1.73629360e+07
1.41470535e+02,3.91589710e-03,5.08591318e+00,5.37922978e-01,2.04072940e+07
1.40478363e+02,2.60756159e+00,1.69104636e+00,1.94395661e-01,1.41304560e+07
1.51881714e+02,3.13740015e+00,6.10720634e-01,6.17955327e-01,1.21452660e+07
1.40689560e+02,1.03896332e-03,4.59066010e+00,5.31784415e-01,5.99745900e+06
1.43229553e+02,3.12118912e+00,2.87122726e-02,7.31756210e-01,1.06051350e+07
1.52012787e+02,1.85743793e-05,1.13338566e+00,6.58185720e-01,8.77665100e+06
1.49867950e+02,4.16438607e-03,2.05417156e+00,3.90993088e-01,2.12184980e+07
1.50194092e+02,3.13454461e+00,3.74131298e+00,1.15080714e+00,2.16224180e+07
1.41185745e+02,1.93358231e-02,1.97499752e+00,5.94806314e-01,2.08228080e+07
1.41163437e+02,3.12817788e+00,3.79922533e+00,4.80925560e-01,9.05415900e+06
1.51536545e+02,3.13760424e+00,1.36013126e+00,6.71689451e-01,1.29471210e+07
1.40780838e+02,9.63556580e-03,2.44080925e+00,4.60513681e-01,1.06952690e+07
1.42314346e+02,3.13607311e+00,2.00239658e+00,4.28555727e-01,1.84950320e+07
1.51226379e+02,9.90817789e-03,2.93022490e+00,5.40669978e-01,2.04705000e+07
1.51581039e+02,3.13605833e+00,6.69561550e-02,3.63160759e-01,2.58643220e+07
1.56438080e+02,3.24067427e-03,3.47919750e+00,8.87267113e-01,2.27126280e+07
1.40015366e+02,5.51867373e-02,3.36100245e+00,3.48726749e-01,1.40485510e+07
