# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000140.622012,0.007241,5.964186,1.268787,933278.801472
141.799959,3.139066,1.866896,1.243927,766961.143776
140.145709,0.003144,4.335717,1.368259,1156855.810177
140.211697,3.134817,4.962541,1.297081,1384247.615617
140.038568,0.002670,0.291173,1.307716,391689.864864
140.022920,0.003958,3.353133,1.268470,276086.563776
140.032539,0.000816,0.567261,1.626527,4052847.532316
143.833286,0.001559,1.532405,1.310677,604720.082592
142.967527,0.004318,6.045873,1.461439,1675742.966209
142.425639,0.005739,2.373587,2.213447,1688608.555201
140.160553,0.006954,3.500508,1.230795,436195.826784
140.987007,0.004502,0.477628,1.468165,1090919.666593
146.037422,3.140599,2.157154,1.821936,5446145.940184
143.091707,3.137425,1.131167,1.318645,689543.210016
143.926995,0.001491,0.976701,1.231106,310344.934464
141.673377,3.136869,4.995957,1.309709,755853.353280
141.474446,0.002317,5.501031,1.284151,624579.465600
140.639805,3.139740,5.398421,1.460179,1036839.312865
140.798585,0.004536,1.544089,1.626482,1794936.664225
142.177309,0.003525,4.951513,1.423499,989827.553088
140.501395,3.138996,4.253269,1.340257,496035.775584
141.272684,3.135772,3.287705,1.256781,536352.941088
140.277879,0.008827,1.852248,1.457292,2380208.763455
140.827908,3.136848,5.115389,1.363294,1051275.700513
142.693364,3.135553,2.390215,1.275567,458299.207872
140.304775,0.004289,3.029536,1.308647,668711.427840
143.160813,3.139780,5.868095,1.317221,599484.087072
141.357390,3.135711,1.163406,1.141348,266699.171808
141.315154,0.003494,5.458693,1.277049,501159.571200
141.452480,0.003092,2.996911,1.493034,1217929.957921
145.604528,0.000789,4.522361,1.347602,571957.710624
140.064423,3.136175,2.080851,1.358989,793365.521184
144.020084,0.003255,2.485400,1.846346,1449173.960065
142.172199,0.003883,1.639158,1.570141,876206.450304
143.344475,3.138602,3.980484,1.324450,974979.765792
141.463697,0.001052,1.439950,1.788958,4388736.644923
144.722419,0.001515,4.266292,1.434299,1029209.719393
140.278007,0.004097,5.424507,1.402624,1506994.310593
141.162875,3.139248,1.589546,1.424133,1398310.003585
146.228508,0.002569,3.141394,1.632878,975129.365664
140.183628,0.001079,0.207970,1.340421,1103336.455969
140.484321,3.137744,2.649940,1.323628,932568.202080
140.749546,3.139848,1.460521,1.253672,715685.787648
142.620228,0.004240,2.260904,1.191056,430062.232032
141.851724,0.003826,1.737675,1.439244,1076969.478529
143.870031,3.137948,0.756999,1.291770,310270.134528
145.293347,0.001673,5.945357,1.379769,1490912.324353
142.186771,3.136218,0.946140,1.274764,577530.305856
141.011975,0.004870,4.547079,1.251836,742725.964512
140.036021,3.137924,1.654414,1.246969,347408.302752
140.344891,0.004767,3.933661,1.348820,1218191.757697
141.753463,3.137945,3.304660,1.347386,446368.618080
142.887463,3.138709,4.046950,1.284796,763744.746528
143.820119,3.138873,0.530777,1.340861,1486386.928225
141.679789,0.005293,1.094779,1.187487,332223.915744
143.635283,0.001361,5.380066,2.053363,2332449.004320
145.775211,0.003510,1.947077,1.344919,1104795.054721
143.946332,3.139783,2.187611,1.682106,2088002.813472
141.239379,3.134863,0.394254,1.447012,684905.613984
142.671819,0.001975,2.838806,1.271401,852420.070656
140.812117,0.003469,4.192923,1.293575,991622.751552
141.460508,3.138988,5.561364,1.586244,1730421.719425
141.930210,3.138418,4.948016,1.488114,722193.382080
140.242585,0.002671,2.694146,1.199110,192385.435392
142.875130,3.139869,2.386700,1.150347,183521.642976
143.435217,0.003184,1.870183,1.406899,835814.484864
140.647987,0.006890,5.699003,1.291948,390904.465536
144.975262,3.138068,0.815611,1.343439,645897.447360
146.062357,3.139523,4.050869,1.622886,1988294.498784
140.977845,3.133455,0.368008,1.412917,931521.002976
144.274744,3.137869,4.839988,1.235200,288839.952864
142.298844,0.002500,0.553416,1.621838,1194218.378209
142.183955,0.004271,3.677595,1.429974,580746.703104
141.524407,0.002947,2.864399,1.582116,965218.374144
140.504438,0.003794,0.685838,1.174051,205363.224288
140.701156,0.006983,0.025349,1.189560,184007.842560
143.532522,0.002608,5.853812,1.217841,326838.320352
144.455504,0.002321,3.084235,1.205033,325678.921344
141.507165,3.137097,5.502562,1.297858,794749.320000
140.120907,3.139359,6.126682,1.473599,2024273.268000
142.146805,0.003572,2.845519,1.168727,361096.691040
140.375612,0.002644,1.415900,1.425583,1760491.293697
140.595535,3.138717,5.554593,1.466613,1008153.537408
142.940436,0.003467,3.334333,1.422587,595370.090592
140.828068,0.005850,5.241464,1.298081,731057.174496
140.907825,3.138867,4.535817,1.222177,529583.546880
141.287711,0.011225,1.628819,1.372142,2291346.439488
142.087086,0.001836,0.780467,1.268735,375495.678720
142.017220,0.005610,0.352172,1.491500,778106.334240
142.562141,0.001868,5.783688,1.607925,1996672.091616
