# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
142.716844,0.007933,0.377091,0.514372,16952283.495354
140.243796,2.043494,1.946867,0.140848,18312894.331191
151.467282,0.001605,3.434883,0.559152,27450828.512635
140.452733,0.004887,4.469851,0.731929,32296368.366738
140.032102,0.040285,5.047147,1.110046,46323600.364885
140.072018,0.002624,4.392124,0.615898,57765372.575180
150.651313,0.000662,6.131526,0.623333,32415674.264659
148.041655,0.007349,2.271968,0.309621,18653608.039670
140.084595,3.046008,2.039249,0.143993,47925814.994013
140.465508,2.936424,2.198083,0.243213,26153049.623029
140.307187,0.004103,1.827994,0.511086,41262636.695101
140.862109,0.028229,1.325038,0.439504,30802239.645131
148.058436,0.007407,5.205572,0.593615,42263833.838466
142.315919,0.008570,4.460511,0.668675,30147366.205448
142.148023,3.130684,6.090956,0.886167,48976006.095458
147.988081,3.129077,1.103573,0.933941,16997537.456634
153.906247,0.007384,2.799093,0.439601,23878383.569258
140.290685,3.134557,4.731348,0.233341,16715541.697915
140.201442,0.405852,5.865637,0.214996,24672758.889582
140.080724,2.533254,0.350339,0.068326,24120361.362219
142.405476,0.004206,3.726990,0.270842,30677697.751690
160.927361,3.136012,0.351498,0.814593,34742700.273630
150.012226,3.137831,1.603420,0.461619,29741576.552646
144.699842,0.005537,4.144942,0.726713,87101907.474520
140.340965,0.224209,6.246820,0.193750,18613216.074231
149.013623,0.005320,3.917154,0.563224,31503489.045134
150.660584,0.004538,3.475875,0.552217,20036284.856627
140.581969,3.132557,5.224347,0.566581,24629374.926701
141.751410,3.137299,2.450709,0.240762,30035540.301127
148.164569,3.137544,0.989983,0.432185,36255902.978917
146.850013,3.134322,3.927711,0.456842,24941290.659823
141.192517,0.000286,4.968895,0.247344,22512910.737581
144.683911,3.138417,2.871810,0.345031,26271233.521909
140.036389,0.845714,4.086657,0.109196,35368401.738273
142.111040,0.005034,5.379650,0.425424,40938378.972539
142.037037,0.003204,0.005369,0.522500,21648971.476783
156.785937,0.004267,4.922404,1.012915,50350080.919784
140.164366,0.009643,5.214728,0.284029,13717560.263042
140.372970,0.020539,5.448607,0.275717,11546118.120966
140.298920,0.012974,4.747352,0.358783,24899402.695663
140.817628,0.007592,6.122977,0.192149,15173915.016959
141.502078,3.112477,6.022010,0.199464,14435639.648640
149.031176,3.139761,1.880246,0.998494,52722360.890036
140.051621,0.739080,0.372262,0.331846,29406846.839044
140.002560,2.321024,3.288500,0.077616,16035984.279357
145.228797,0.158259,2.395564,0.487551,24461823.070061
141.055985,3.131006,3.666758,0.457738,17620620.923513
140.110379,0.995814,1.986423,0.241766,23403029.975979
140.130216,1.758737,2.488957,0.092037,11986315.744326
140.003330,2.949189,0.048499,0.150303,23906807.544938
140.283506,0.828403,3.426871,0.204928,46473574.236566
143.072607,0.006985,5.343056,0.652399,40986998.930940
163.632447,3.140687,0.298662,0.684536,30910325.552651
160.455477,3.141540,0.992896,0.900894,37955731.524525
140.043589,3.130384,0.273900,0.336251,54161885.658362
140.207065,0.003334,4.267380,0.436072,15937622.363517
140.046376,1.591371,1.317747,0.080377,23416493.964459
151.445470,0.002002,4.604853,0.735490,56817657.386055
162.332410,0.001401,0.674114,0.858240,49607317.555301
143.794985,3.135457,5.143241,0.367989,21372211.713584
142.657090,0.014221,5.758783,0.634244,41063294.865660
140.074464,3.128164,1.708058,0.260261,20453294.499826
140.685328,3.139035,4.083136,0.467779,53967405.824762
146.403341,3.134031,1.494058,0.298306,26140707.633589
149.047849,0.005852,5.579273,0.881593,19019753.726390
140.015440,2.852226,0.109828,0.447238,30618605.802250
145.832803,3.139813,2.251509,0.552092,32980413.781461
140.403793,0.009572,4.799048,0.280493,8067173.097601
140.089242,1.487930,2.090959,0.177969,25312298.342385
142.237466,0.007345,4.696174,0.625856,28981609.202882
147.383187,0.000972,4.010751,0.705811,16820635.607995
140.204798,0.014240,4.648756,0.367173,11227844.393285
143.620639,0.007679,5.373277,0.468494,21423075.670064
140.342716,0.004622,2.534690,0.618939,67208116.495865
140.112904,0.005057,4.900870,0.826020,64192183.076330
