# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0183, s = 0.0 s
140.237208,0.041685,3.420955,0.208125,55375888.619648
140.863431,0.015657,4.950531,0.416741,32486360.204179
157.115654,0.004536,2.627919,1.005835,24766258.809582
144.062022,0.003886,1.137003,1.065611,54161885.658362
140.774516,3.134393,4.972318,0.530189,52097781.424433
142.249140,0.006763,3.281892,0.267397,13785254.205122
140.014890,1.243986,1.363707,0.409580,39075112.566770
142.803404,0.011104,4.121797,0.323977,54520177.351804
140.388942,3.094286,0.360926,0.273831,45654514.937362
141.239302,0.015418,3.073523,0.166003,23448283.937259
140.383531,0.037916,5.253745,0.465956,43439314.832711
140.093786,0.703113,2.226874,0.314766,29786456.514246
141.465042,0.007934,6.065284,0.297677,23992453.471658
140.243907,3.130504,3.055920,0.488284,12100011.647046
155.213729,3.140492,2.882106,1.005540,40132035.662455
140.032377,2.915829,0.700143,0.069252,10501537.014724
142.557606,0.007182,1.920279,0.366081,32626984.083860
145.502621,3.136055,0.563662,0.313878,27837170.182077
141.701592,0.004977,0.138121,0.279773,25590928.103986
140.143569,1.094708,1.667182,0.077150,37389122.009322
148.418518,3.133100,0.328941,0.614654,32788925.945300
141.129850,0.005940,5.961231,0.331892,14314089.752641
145.731420,3.139618,4.714056,0.523398,22079445.108462
146.295773,3.135868,1.300585,0.854186,52470659.105394
143.501354,0.007394,6.255117,0.527347,40888263.015419
141.511594,0.003141,6.135833,0.406882,15695270.570877
140.935656,0.018961,2.213358,0.367512,35156343.919712
154.188444,3.138251,3.473462,1.142126,72888423.635732
140.035524,0.022602,5.461755,0.031518,6382304.539199
140.203985,0.626765,4.063556,0.046333,16020650.292477
160.707768,0.003970,1.664151,0.853542,38204441.311726
141.399696,0.003946,1.364754,0.454290,20033666.858867
151.799189,0.005611,5.856603,0.646816,41026642.897020
144.633582,0.002232,1.045701,0.324394,23749727.679339
140.600869,3.136712,1.168877,0.590691,64817884.540973
140.612803,0.003288,4.768032,0.338222,24114377.367339
141.514007,3.132286,4.129058,0.604181,40517255.332857
140.853469,3.129112,4.929369,0.698678,61277229.570396
140.814368,0.012052,5.377002,0.538877,15591672.659518
140.112446,3.125309,5.312915,0.402696,57099653.144776
