# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
147.818369,0.007026,5.002253,0.766124,2187150.128640
143.891289,0.003893,0.759596,0.841433,3692498.840640
154.524147,3.139234,2.179622,0.813139,1343780.850240
140.295483,0.150897,3.725950,0.645806,2260454.065920
150.212544,3.139071,0.538948,0.765606,1627646.607360
148.367206,0.003289,5.147432,0.628365,498915.573120
140.753791,3.141463,3.423354,0.852084,4113622.480320
170.689856,0.001848,5.169894,1.033472,1373700.824640
143.320573,3.134431,0.179000,0.669665,821303.297280
152.162021,0.002075,3.983130,0.999247,2089536.212160
141.484655,3.130939,0.418495,0.664756,943601.192640
143.560043,3.128904,2.185386,1.081381,2696911.692480
150.924537,0.000932,3.025637,1.019209,2821827.585600
159.805281,3.137412,2.899753,0.907951,2336750.000640
142.549346,0.005076,4.067815,0.655629,699753.401280
145.445810,3.107125,3.882711,0.925396,2766475.632960
140.667805,0.006196,1.596546,0.684128,2387987.956800
140.243171,0.014529,5.835680,0.672991,2119830.186240
142.413858,0.008773,2.985154,0.993013,3944200.625280
161.896771,3.135704,2.483663,1.297932,3402649.088640
153.291654,3.136993,2.708896,0.874458,1620914.613120
163.614906,0.013616,0.532013,1.050157,2692797.696000
146.186812,0.008125,5.766293,0.739099,1544244.678720
150.699661,3.136575,1.629055,0.906685,4007406.571200
145.702537,0.002299,2.578826,0.803166,4722867.959039
147.050417,0.004316,3.453665,0.732314,1432792.774080
150.366779,0.002740,2.407995,1.082928,3901190.662080
141.568131,0.011041,2.467518,1.110541,9879201.547203
140.178141,0.005881,0.207773,0.693368,1031491.117440
170.837292,3.128637,2.733840,0.958504,1234946.943360
141.458248,3.137179,2.941275,0.653152,704615.397120
142.704725,0.004645,4.506430,0.824661,1268232.914880
153.940060,0.003453,5.342815,0.764575,1638866.597760
141.025991,0.011306,1.183534,0.947448,3840602.713920
143.219024,0.003366,4.386327,0.677356,612611.475840
179.943327,3.138295,5.818324,0.968372,6655698.305280
141.405268,0.013516,2.689189,0.664813,1668786.572160
141.102784,0.001591,5.586870,0.653449,1193432.978880
141.684679,0.008008,1.672807,1.131140,2286260.043840
140.323949,0.000314,0.082403,1.450402,6645974.313600
157.115016,0.005202,3.348794,0.627921,781285.331520
145.144049,0.007016,5.485496,1.001578,5031043.695359
144.038190,3.132430,2.878798,0.614859,684793.414080
148.957094,0.003646,2.779275,1.117763,3972250.601280
154.706426,3.141389,0.458530,0.696616,902087.228160
142.478864,3.139769,2.606660,0.712419,1256264.925120
146.369485,3.139692,1.998887,0.611943,461515.605120
162.079149,3.141119,3.533461,0.941371,7859603.275201
142.844435,3.135582,3.513112,0.650022,727429.377600
144.271424,3.133987,3.079446,1.973800,7625853.475201
150.083074,0.001351,4.373644,0.802790,1622410.611840
150.391406,3.139939,3.754731,0.856661,2583963.789120
143.032381,0.005926,3.565821,0.736482,2000898.288000
153.386736,3.136718,3.657689,0.733655,3766550.777280
144.708674,0.006308,4.854746,0.674938,975765.165120
152.898801,3.138979,2.498476,0.744225,1044955.105920
149.879743,3.134055,1.526235,0.629996,938739.196800
150.952716,3.141511,5.750385,0.728376,2097016.205760
147.839219,3.138623,1.267511,0.825745,2634827.745600
140.711734,0.006331,4.605816,0.930606,2903359.515840
147.164075,0.000640,0.747332,1.279324,3686514.845760
148.143654,3.133690,0.554839,0.976338,2502057.859200
172.151221,0.001147,2.649006,0.770551,2029696.263360
140.394760,3.124625,3.391961,0.604465,630563.460480
140.084119,3.128460,0.093583,1.161528,6433542.495359
144.214156,0.014475,5.632959,0.630476,836263.284480
153.969297,3.136396,6.098501,1.376127,4289402.329920
150.069582,3.138461,0.439776,1.113595,3447529.050240
145.265630,3.132552,2.320864,0.611294,806717.309760
146.457786,3.138152,1.427679,0.828058,1911512.364480
173.515264,3.141135,3.813240,0.912707,1771262.484480
141.742827,0.005662,0.150516,0.796790,1874112.396480
144.538850,3.131365,0.820723,0.918680,4005536.572800
140.176855,3.126381,2.713333,0.768192,2021094.270720
147.962664,3.135806,5.338442,1.345040,4605806.059199
143.126794,3.133454,5.509911,0.751783,1182586.988160
143.305219,0.000894,1.180246,0.681619,725933.378880
142.625641,3.138603,2.613351,0.900320,3214153.249920
148.500161,3.139680,2.815987,0.722506,1084599.072000
150.437615,3.137404,2.188061,0.872725,8586284.653442
140.329152,3.128116,5.649367,0.702645,2502057.859200
140.841464,0.005271,2.410478,0.778075,1135463.028480
140.249960,0.012398,1.110536,0.776270,1692348.552000
144.117677,0.007659,6.197125,0.893210,2429875.920960
155.799434,0.004301,0.943404,0.649961,1003441.141440
144.617367,3.132420,4.875212,1.085168,3470717.030400
148.213063,0.003134,0.705071,0.766358,1998280.290240
145.806814,3.133067,1.605430,0.813029,1703568.542400
141.874325,3.134317,3.457982,1.003336,2284016.045760
141.852148,3.135253,2.131368,0.828845,2092154.209920
140.168042,0.012005,4.975271,0.610196,589797.495360
150.450335,0.004595,3.825602,0.906969,1270850.912640
140.619986,3.130225,0.740775,0.971363,3495401.009280
142.810186,3.134155,4.895055,0.754386,2219688.100800
162.812460,0.000935,3.266530,0.990000,2767223.632320
140.337569,0.016130,3.879284,0.699861,1189318.982400
149.570917,3.139876,5.200034,0.803315,2760117.638400
144.449211,3.139585,1.870609,1.012246,2928043.494720
157.879594,3.137944,4.941885,0.688239,1947042.334080
152.706730,0.006288,2.293397,0.751171,1154537.012160
177.760920,3.139605,4.384526,0.778323,1795946.463360
142.691035,0.003007,4.065286,0.831511,2420525.928960
146.334061,0.003822,5.714731,0.659592,758097.351360
160.440041,0.004354,1.506344,0.698192,2166954.145920
142.998282,3.133922,3.112019,0.684248,491435.579520
154.503392,0.001183,2.195580,0.813407,1099933.058880
166.778041,3.138655,0.605465,0.779334,2132172.175680
158.385091,0.001649,0.149384,1.072748,4776349.913279
141.739706,3.130343,2.289614,0.769818,3310645.167360
141.383107,0.005144,3.539119,0.758350,2386491.958080
179.248600,0.003829,2.313900,1.302257,3334581.146880
