# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with my code. 
140.940049,3.136132,4.869884,0.518660,50550918.747945
146.380763,0.003998,2.225816,0.550346,33691013.173465
147.870519,3.137414,0.009507,1.049060,54571041.308284
150.136252,3.127519,5.521548,0.785908,39014524.618610
140.143807,0.056947,0.940478,0.141038,20938746.084465
141.228644,3.136031,1.830738,0.247106,18004718.594872
140.137137,2.089038,1.260247,0.286651,48464748.532895
140.381383,3.126320,3.992223,0.298782,18830135.888630
140.146150,2.186533,1.153369,0.271825,62863362.213284
140.449266,0.010207,1.029446,0.540980,59339911.227987
140.456470,0.035726,5.686953,0.228553,20314914.618227
140.601474,0.003218,3.794276,0.207696,18072786.536632
141.090468,3.133677,4.418254,0.858554,44237430.149835
140.223181,2.630190,5.633651,0.476369,30642167.782090
148.531241,0.004408,1.357766,0.626354,37810619.648684
141.203780,0.010429,2.868494,0.622843,53206316.475958
153.028415,3.138456,4.045963,0.660848,24711280.856622
143.284520,3.132393,2.308892,0.442930,16838961.592315
140.161851,0.012182,5.194786,0.588637,58810327.681105
148.199212,3.140004,0.702209,0.375404,21129111.921585
153.149674,0.004177,5.804916,0.612865,41214016.736701
140.168615,2.008801,2.147357,0.108129,30063216.277447
140.145962,2.874347,3.062304,0.129781,29774114.524806
140.669337,0.004381,4.965003,0.219359,24778600.799022
144.535622,0.008200,4.848335,0.520194,38206685.309806
140.951685,0.008426,2.231836,0.602666,31637754.930255
146.902317,0.003541,2.803346,0.473339,43161059.070790
140.709897,3.132784,1.348877,0.285284,50694908.624746
144.202019,0.002960,4.752636,0.865523,32973307.787541
140.135503,0.005289,0.185862,0.284005,46206538.465044
150.640280,3.138652,0.125977,0.383530,49988423.229223
141.872795,3.134900,0.532979,0.219387,50222173.029224
140.387370,0.644338,0.025430,0.117207,27771720.238076
140.052213,0.856774,5.571632,0.145963,26266371.526069
140.453763,3.127492,0.639342,0.459962,15391956.830398
161.013837,3.139199,3.447159,1.115579,69528036.510916
143.208272,0.006633,3.593998,0.358072,52239901.302833
140.129871,1.982320,2.568163,0.416344,52534987.050355
140.057883,0.296895,2.072368,0.234796,29882948.431687
140.191426,1.593766,6.109092,0.126198,41462352.524222
140.180125,2.790952,3.727740,0.172584,22526374.726061
140.120024,2.889102,6.255019,0.517811,64633502.698732
152.391372,3.138745,2.442476,0.455214,43134131.093830
144.080241,3.133717,4.887620,0.428271,51875251.614832
149.644164,3.139780,3.686599,0.973952,83063832.929540
140.159203,0.026429,5.164187,0.691804,29896786.419847
140.337849,3.132554,6.232793,0.589154,51202800.190188
157.969234,3.133550,1.109252,0.791401,48630056.391456
140.532648,0.009399,2.683053,0.570404,66941828.723703
140.191167,1.831517,2.262194,0.205939,33124403.658262
140.333494,2.788298,2.874260,0.300224,38640524.938608
140.337161,0.001269,3.629992,0.403889,13361138.568003
140.276033,0.295816,2.801740,0.387024,24770372.806062
141.994951,3.136412,4.850347,0.447663,31911896.695696
140.105403,0.335604,3.083014,0.187959,34782344.239710
141.960793,0.002665,1.705887,0.545591,76159050.837347
165.841946,0.004808,4.177776,0.827448,48251568.715294
140.080997,1.936273,3.114359,0.051630,18266892.370551
140.076019,2.617144,4.520786,0.032281,15646276.612797
147.750313,0.008780,5.737361,0.495824,56095464.003972
145.784337,3.136236,0.008222,0.504427,25012350.599023
142.200395,0.005556,5.258432,0.751870,49755795.428261
140.178908,1.483855,2.921952,0.173285,42301233.806466
144.649140,3.134191,1.125650,0.510476,46915641.858328
140.418135,1.317879,3.347552,0.091885,33699241.166425
150.448542,0.006245,4.104123,0.642908,30780921.663371
140.735434,0.008037,4.211406,0.286688,15128287.055999
143.418172,3.139078,3.363346,0.775071,33865297.024346
143.931834,0.009054,5.343075,0.322670,38020433.469165
140.179559,0.979290,2.720482,0.072393,24515305.024301
140.493891,0.006804,1.074651,0.366791,34333170.624028
157.205226,0.001793,0.467362,1.064593,68512253.380031
140.283120,2.992582,4.039008,0.302123,49250147.860899
147.117442,3.137235,0.865089,0.645383,35864699.313635
140.044204,2.296346,1.665743,0.469093,49221349.885539
140.338371,0.006942,1.157000,0.720648,22147887.049902
140.251955,2.804227,5.726951,0.182720,15540060.703678
144.069656,3.138723,3.166283,0.795392,28465115.644800
145.841753,0.002225,2.471603,0.667871,34275200.673628
140.250578,2.317572,5.160910,0.185260,37037188.310441
140.214134,2.233820,0.317537,0.166062,37068230.283881
140.132693,1.328587,3.887312,0.088518,14367571.706880
150.473580,0.001827,4.566295,0.485628,20154094.755827
140.248568,2.716365,5.421089,0.100878,13882120.122242
149.399673,3.136866,2.079326,0.625124,29751300.544326
157.468520,0.000215,0.339768,0.758500,58538429.913743
140.012806,1.981351,4.378550,0.318322,43052973.163269
140.236680,0.005857,1.335569,0.454095,32454570.231379
140.483247,0.008447,4.989393,0.584762,45105857.406799
140.126759,3.135037,4.010764,0.664818,30298462.076169
141.882368,3.137989,3.814312,0.550408,30157090.197128
142.550713,3.133738,5.875564,0.306700,30163448.191688
140.079443,2.320219,5.645269,0.210784,42305347.802946
140.158586,0.468001,3.113345,0.106404,22904488.402541
148.040930,3.131470,1.602324,0.628767,38999938.631090
140.177726,2.997736,3.430790,0.098719,15851602.437117
157.059496,3.139352,2.888071,0.724793,28271383.810559
144.590237,3.140955,1.153360,0.500002,18399288.257271
140.279681,0.810571,0.606498,0.058453,27604168.381436
140.458201,0.001995,5.255126,0.721508,43357782.902471
141.537816,0.009413,5.976225,0.325622,18324114.321591
154.773611,0.000793,6.104006,0.840285,64623030.707692
143.139052,0.004148,5.331907,0.652218,57821098.527500
146.635297,0.007574,5.507551,0.322984,60650406.106713
141.955279,3.135897,1.209304,0.499750,13085126.804163
140.046370,2.847963,1.822418,0.243842,73168549.396053
140.308753,0.019116,5.832148,0.894886,57396608.890698
140.133817,0.007357,2.267181,0.664576,24065757.408939
140.106060,1.721463,1.398082,0.068207,20009730.879347
140.121755,2.973372,0.070137,0.183261,23982729.479978
150.400846,0.005816,1.150896,0.578272,43148343.081670
140.156378,3.107077,6.260400,0.366164,16427935.943996
145.107865,3.134109,4.904828,0.696873,58427352.008783
140.078650,1.831703,3.392241,0.094951,30756237.684491
140.047360,0.393916,0.181699,0.173623,35001134.052511
141.055239,3.133758,3.597390,0.680626,48728792.306977
152.835983,0.003155,1.800024,0.593075,15901344.394557
143.604975,3.137131,0.348051,0.538541,84146936.002826
140.105421,1.753258,3.145213,0.382405,41379698.594941
148.373825,3.138542,0.598512,0.463692,43269144.978310
140.204293,1.946392,4.096863,0.076476,25764089.955827
140.075190,2.360501,1.881401,0.347139,39871357.885494
140.662242,0.004144,0.453503,0.263950,14744189.384640
140.620092,0.007510,0.153444,0.323066,36104059.108836
150.848148,0.001442,2.663604,0.638538,46303404.382165
147.718584,0.004525,1.443507,0.773857,24632740.923821
148.037739,3.141192,1.123178,0.495513,21877859.280943
140.010441,0.108466,5.155181,0.219040,26175115.604149
140.028375,0.396255,0.833027,0.092096,22316560.905582
152.795331,0.006609,1.481371,0.692622,46672542.066327
140.528328,0.004630,4.476417,0.792358,41957902.100224
150.453402,0.004473,0.739234,0.691301,20950340.074545
140.084623,1.063033,1.716418,0.209840,32365558.307538
146.035351,3.138599,1.758827,0.499974,22642688.626541
153.822496,0.001812,1.411386,0.541993,29642466.637445
141.792270,0.009955,1.349693,0.522590,31111163.380812
144.487130,0.001780,0.009111,0.825960,42614645.538307
143.545999,0.005602,5.039584,0.823819,24341395.173100
166.165011,0.006633,2.749840,1.149062,34009660.900826
154.744865,3.135771,1.836797,1.033177,30371018.014089
145.461643,3.130946,0.612787,0.617819,31185215.317453
140.206152,0.833730,4.881736,0.171927,41423456.557502
140.135825,2.292589,0.625300,0.131349,24047057.424939
140.204127,2.245031,2.941197,0.480542,43474844.802311
141.233861,0.016803,6.183134,0.351068,30708365.725450
140.147687,0.626599,5.210374,0.075503,21550235.561264
140.037861,0.641695,5.540322,0.254903,43363766.897351
140.096203,2.861686,2.762615,0.035212,9851151.571203
140.076546,0.035316,2.507882,0.332374,24375055.144300
142.291562,0.003153,4.759753,0.693721,66593635.021622
140.185842,2.697632,0.915837,0.141008,26049825.711348
146.810831,0.007111,4.511295,0.269634,24143175.342699
146.682136,3.136326,3.233248,0.660810,58215668.189902
140.248457,1.750254,3.330065,0.225901,36911524.417960
150.475582,0.003233,3.463855,0.776890,32908231.843221
140.162310,1.758002,1.703366,0.134236,27346108.602234
140.425095,0.054519,0.872196,0.221782,28713451.432321
140.056249,2.103739,3.508814,0.268364,66886102.771383
140.069352,2.057035,4.745943,0.048263,9400855.956483
140.098320,0.010323,2.591941,0.418199,28124775.935998
155.450446,0.005147,0.659433,0.660934,31445145.095054
145.669202,3.140194,2.147142,0.420065,31447389.093134
140.231579,0.005334,2.896268,0.458881,22433996.805102
140.553007,2.796808,6.197899,0.303028,62639710.404643
157.304729,3.134557,4.668270,1.018596,20136890.770547
151.548697,3.137347,5.396796,0.419552,29899404.417607
140.103770,0.465527,6.045741,0.060178,19204883.567989
140.392550,1.690656,4.671476,0.190716,24819740.763822
140.592574,0.011700,1.520703,0.475923,37591829.835883
140.816095,2.280617,1.193718,0.171096,55560644.461569
140.226508,2.817733,2.027227,0.108302,31908904.698256
140.386480,3.127064,1.168006,0.185816,21313867.763504
140.259496,1.211042,1.112936,0.325273,43642770.658632
144.034253,3.138896,1.256025,0.337021,27759378.248636
140.221706,2.135755,4.300014,0.305139,45903224.724563
